message_id,client_id,freelancer_id,message,sent_at
136,633,872,Please sync everything to the drum hits.,2024-03-17 20:44:12
137,416,283,Please add a custom intro animation.,2025-03-02 03:05:34
138,199,822,Can you add a blurred background to interviews?,2025-02-22 09:01:48
139,868,310,I need the video by Friday please.,2024-09-30 17:27:23
140,474,249,Please remove the background noise.,2024-12-13 07:59:15
141,532,967,I want the gaming footage to look more cinematic.,2024-06-17 17:29:19
142,212,409,I want neon glow effects for the gaming edit.,2025-06-22 16:49:20
143,550,828,I want upbeat music for the montage.,2023-06-16 06:27:27
144,390,300,I need the audio levels balanced out.,2025-06-26 23:31:59
145,547,29,I want the video to be under 60 seconds.,2024-03-26 20:34:16
146,324,11,Can you add a blurred background to interviews?,2023-09-17 05:43:56
147,679,656,Can you add animated charts and graphs?,2024-09-05 03:58:09
148,897,11,Can you add my logo watermark?,2023-09-23 19:39:51
149,122,856,I want more slow motion effects.,2023-09-13 03:20:50
150,409,143,Can you add lower thirds with my name?,2023-03-03 01:10:35
151,407,410,Please remove the background noise.,2025-05-09 04:44:47
152,617,924,Can you color grade this footage?,2023-01-29 10:00:12
153,861,558,Can you sync the cuts to the beat?,2024-02-25 15:11:31
154,548,854,I want the video to be under 60 seconds.,2024-07-11 08:25:51
155,533,107,I need the audio levels balanced out.,2023-12-11 07:51:50
156,1,570,I want upbeat music for the montage.,2025-06-09 15:59:56
157,569,195,Please add a smooth zoom effect on key moments.,2023-03-06 06:08:46
158,338,495,I need a square format version too.,2025-11-02 02:30:48
159,835,554,Can you add a progress bar animation?,2024-01-04 10:33:12
160,634,610,Can you add chapter markers in the edit?,2025-01-06 05:48:57
161,269,854,Can you add chapter markers in the edit?,2023-06-14 23:27:21
162,567,356,Can you add particle effects?,2024-01-03 19:41:08
163,15,153,I want a vintage film look for this video.,2024-07-29 23:24:13
164,938,14,Can you color grade this footage?,2023-01-02 07:33:28
165,218,48,I need a short teaser version as well.,2024-06-20 03:18:15
166,738,400,Please add reaction zoom effects.,2025-11-20 20:26:10
167,413,105,I need the logo animated in 3D.,2026-04-24 18:36:26
168,611,365,Can you add a split screen effect?,2023-11-13 03:47:17
169,18,934,I want a dreamy aesthetic for this vlog.,2024-08-25 03:24:52
170,300,100,Can you add a progress bar animation?,2024-02-10 20:59:37
171,786,579,Please add text overlays with key points.,2024-11-12 04:04:23
172,555,681,Please remove the background noise.,2024-11-02 09:52:26
173,460,584,Can you color grade this footage?,2025-02-20 04:17:05
174,780,492,I want neon glow effects for the gaming edit.,2023-01-31 15:13:27
175,670,122,Please make the intro more impactful.,2025-01-03 17:18:58
176,166,425,Can you add a split screen effect?,2023-02-24 13:53:32
177,32,116,I want the gaming footage to look more cinematic.,2026-03-11 14:30:33
178,209,438,Can you make the transitions smoother?,2025-12-04 23:58:09
179,126,49,Can you speed ramp the action scenes?,2024-02-26 21:54:12
180,941,303,I need a square format version too.,2024-01-27 21:39:52
181,135,616,Can you add a blurred background to interviews?,2023-03-09 13:04:05
182,403,496,Can you add a call-to-action at the end?,2025-10-30 18:52:57
183,352,978,Please use the song I sent you.,2025-05-18 03:05:24
184,925,952,I need vertical and horizontal versions.,2024-08-04 16:07:42
185,169,309,I want more slow motion effects.,2024-08-10 06:30:58
186,146,807,I need the audio levels balanced out.,2023-07-16 03:20:10
187,120,332,I want a dreamy aesthetic for this vlog.,2025-08-07 22:14:18
188,612,447,Please include a highlight reel at the start.,2023-08-02 01:00:33
189,323,955,Please use the song I sent you.,2026-04-08 13:31:47
190,183,189,Can you sync the cuts to the beat?,2023-07-14 08:01:11
191,624,9,Please use jump cuts for more energy.,2024-01-02 19:25:51
192,221,955,I want the gaming footage to look more cinematic.,2025-10-03 05:09:25
193,676,302,I want a vintage film look for this video.,2023-02-16 00:05:42
194,265,511,I need a square format version too.,2025-01-16 14:37:18
195,923,399,I need a square format version too.,2025-04-21 00:47:47
196,296,702,Can you add my logo watermark?,2024-08-01 18:47:20
197,612,229,Can you add a blurred background to interviews?,2024-11-10 07:16:39
198,335,175,Can you add background music to the edit?,2023-12-27 08:38:55
199,548,231,Can you add my logo watermark?,2023-01-10 19:40:19
200,501,851,How long will the delivery take?,2023-08-02 10:26:12
201,295,342,I want neon glow effects for the gaming edit.,2024-06-24 11:07:36
202,224,105,I want a cinematic black bar effect.,2025-12-26 02:26:28
203,849,883,Can you add a blurred background to interviews?,2023-03-29 21:07:35
204,4,759,Please add a smooth color grade.,2024-09-04 23:47:33
205,131,675,Can you sync the cuts to the beat?,2023-05-23 07:48:34
206,953,890,Please add a custom intro animation.,2026-01-19 08:35:13
207,798,484,Please add a smooth color grade.,2026-04-25 03:48:12
208,656,147,I want the gaming footage to look more cinematic.,2024-12-21 01:36:50
209,507,161,Please use the song I sent you.,2026-04-15 05:11:33
210,278,549,Can you add a split screen effect?,2025-04-27 20:36:53
211,750,253,Please export with captions burned in.,2024-06-22 14:38:40
212,570,329,Please add a smooth slow-mo at the climax.,2025-11-15 01:48:16
213,329,568,Can you add my logo watermark?,2023-09-23 22:11:36
214,186,599,Please add a smooth zoom effect on key moments.,2024-04-19 13:26:01
215,175,698,I want a dreamy aesthetic for this vlog.,2023-08-06 17:27:25
216,730,880,Can you add my logo watermark?,2023-06-07 20:35:00
217,416,119,Can you add animated charts and graphs?,2024-05-24 09:14:00
218,501,378,Please export with captions burned in.,2023-05-11 20:59:31
219,460,69,Can you color grade this footage?,2024-06-06 06:32:58
220,939,54,Please make the intro more impactful.,2025-09-16 11:05:32
221,49,372,I need a square format version too.,2025-07-20 07:00:51
222,95,265,I want a vintage film look for this video.,2024-12-06 18:22:26
223,315,276,Please include a highlight reel at the start.,2023-12-25 02:59:31
224,784,375,I want the gaming footage to look more cinematic.,2023-12-01 01:13:01
225,366,791,Can you add motion blur effects?,2024-04-07 13:57:24
226,449,895,Please make the intro more impactful.,2026-02-11 03:29:11
227,762,874,I want neon glow effects for the gaming edit.,2024-04-04 20:05:47
228,115,854,Can you add lower thirds with my name?,2023-07-05 07:43:01
229,365,595,I need a square format version too.,2025-12-27 08:40:46
230,826,585,Can you add lower thirds with my name?,2023-11-07 03:37:02
231,267,297,Can you add a blurred background to interviews?,2023-11-12 22:53:44
232,38,342,Can you speed ramp the action scenes?,2025-01-28 22:16:35
233,523,548,Please make the reels more dynamic.,2023-12-12 13:54:51
234,200,128,Please make the intro more impactful.,2023-12-05 15:10:29
235,432,86,Please add a custom intro animation.,2025-12-05 16:41:52
236,206,246,Can you add a split screen effect?,2025-03-20 22:27:47
237,941,616,Can you sync the cuts to the beat?,2024-10-25 20:20:14
238,959,39,Can you add animated charts and graphs?,2025-01-07 08:11:29
239,519,548,Can you sync the cuts to the beat?,2025-05-15 07:37:11
240,70,362,Can you sync the cuts to the beat?,2025-01-15 20:40:40
241,557,487,Please add text overlays with key points.,2023-01-16 07:30:18
242,293,848,Can you add a progress bar animation?,2024-11-06 18:19:48
243,189,324,I need a short teaser version as well.,2023-04-08 13:42:22
244,321,186,I need the video by Friday please.,2024-11-22 21:09:11
245,709,314,Can you add particle effects?,2024-05-22 20:48:28
246,852,677,I need captions in English and Spanish.,2024-05-23 23:45:32
247,747,232,Please include a highlight reel at the start.,2025-03-06 11:26:41
248,52,104,Can you add animated charts and graphs?,2025-05-27 07:01:10
249,885,110,I want a dreamy aesthetic for this vlog.,2024-10-22 07:46:17
250,703,490,Please add text overlays with key points.,2024-03-30 18:35:00
251,286,891,Please export in 4K resolution.,2025-02-10 17:14:55
252,90,753,Please include a highlight reel at the start.,2024-11-19 00:47:39
253,761,388,I want a cinematic black bar effect.,2025-07-09 17:37:23
254,829,408,I need the logo animated in 3D.,2023-04-12 18:43:28
255,318,230,I need captions in English and Spanish.,2024-09-07 13:57:18
256,140,602,Can you add a blurred background to interviews?,2025-06-13 11:36:58
257,264,910,Please export in 4K resolution.,2025-09-04 14:44:01
258,813,441,I want the video to be under 60 seconds.,2024-06-14 18:22:01
259,54,625,I need the logo animated in 3D.,2025-06-12 17:51:44
260,600,810,Please make the reels more dynamic.,2025-12-07 10:11:22
261,38,115,Can you color grade this footage?,2025-04-07 04:18:50
262,610,568,Please use jump cuts for more energy.,2025-01-15 12:09:37
263,234,592,Please make the reels more dynamic.,2025-04-05 15:59:26
264,928,240,I need a short teaser version as well.,2026-01-06 12:35:53
265,349,168,Can you add background music to the edit?,2025-12-30 09:09:13
266,88,554,Can you add a blurred background to interviews?,2024-09-28 14:56:53
267,680,535,Please remove the background noise.,2024-03-22 22:23:53
268,175,667,Please remove the background noise.,2024-08-28 23:07:31
269,284,754,Can you add animated charts and graphs?,2026-04-21 13:14:05
270,530,305,Please export with captions burned in.,2026-03-13 02:23:16
271,962,923,Please add a smooth zoom effect on key moments.,2025-08-13 19:33:07
272,742,469,I need the logo animated in 3D.,2024-07-30 05:09:03
273,449,175,Can you add a progress bar animation?,2024-07-30 13:28:06
274,844,794,I need this for a pitch to investors.,2024-05-25 18:51:01
275,651,728,Please sync everything to the drum hits.,2024-06-25 18:07:14
276,773,533,Please brighten the footage a bit more.,2025-03-16 12:05:56
277,760,114,I need the logo animated in 3D.,2023-03-22 02:10:24
278,184,147,Please add a custom intro animation.,2024-11-16 13:40:30
279,764,598,Can you add lower thirds with my name?,2026-02-10 02:25:49
280,552,624,Please add a smooth zoom effect on key moments.,2025-10-26 14:34:16
281,867,647,Please add a custom intro animation.,2023-08-03 04:17:57
282,307,542,I want upbeat music for the montage.,2023-10-19 15:40:42
283,655,624,I want a vintage film look for this video.,2023-05-08 15:17:27
284,474,15,Please use jump cuts for more energy.,2026-03-12 08:52:19
285,595,542,I need a square format version too.,2024-02-13 09:52:20
286,948,337,Can you add background music to the edit?,2024-02-18 08:34:16
287,814,949,I need captions in English and Spanish.,2024-10-23 06:04:36
288,509,779,I want a cinematic black bar effect.,2025-03-23 21:32:53
289,401,536,Can you add background music to the edit?,2023-05-10 06:28:15
290,187,744,I need captions in English and Spanish.,2025-09-18 17:38:46
291,31,215,Please make the intro more impactful.,2025-02-20 08:54:12
292,350,771,Please use the song I sent you.,2025-04-13 13:32:56
293,117,794,How long will the delivery take?,2025-06-17 09:57:35
294,252,625,I need this for a pitch to investors.,2025-04-17 06:49:24
295,82,282,Please use jump cuts for more energy.,2025-06-14 19:09:24
296,12,909,Please make the reels more dynamic.,2026-02-20 14:28:37
297,815,633,Please add a smooth zoom effect on key moments.,2026-01-24 00:35:35
298,587,646,I want a cinematic black bar effect.,2023-06-14 00:20:04
299,456,480,Please sync everything to the drum hits.,2023-03-15 08:03:58
300,380,324,Can you add motion blur effects?,2025-05-20 16:31:45
301,883,436,Please use the song I sent you.,2025-06-28 09:52:44
302,213,227,Can you make the transitions smoother?,2023-05-20 06:12:07
303,644,849,Please add a smooth zoom effect on key moments.,2024-05-01 16:30:16
304,763,517,I want upbeat music for the montage.,2026-03-12 18:00:52
305,22,773,I want neon glow effects for the gaming edit.,2024-12-23 04:30:19
306,985,767,Can you add subtitles to my video?,2026-04-09 15:01:24
307,857,685,Can you add my logo watermark?,2023-10-31 12:03:00
308,130,690,I need vertical and horizontal versions.,2023-02-01 08:43:44
309,765,763,I need the video by Friday please.,2023-07-09 15:17:24
310,590,247,I need the logo animated in 3D.,2023-05-05 07:54:49
311,11,255,I want upbeat music for the montage.,2023-07-15 12:34:47
312,874,588,Please include a highlight reel at the start.,2024-04-22 19:43:29
313,138,662,Can you add my logo watermark?,2024-06-27 08:36:22
314,125,250,I want neon glow effects for the gaming edit.,2024-10-25 00:29:57
315,44,588,Can you color grade this footage?,2025-12-08 08:12:46
316,544,336,I want upbeat music for the montage.,2023-06-07 07:57:04
317,877,515,Please add a smooth slow-mo at the climax.,2023-07-11 10:24:14
318,44,291,Can you add my logo watermark?,2023-04-06 02:06:56
319,901,139,I need a square format version too.,2023-11-26 22:32:50
320,732,473,I need captions in English and Spanish.,2024-09-14 10:15:55
321,72,928,Please use jump cuts for more energy.,2025-12-19 08:00:30
322,815,806,Please make the intro more impactful.,2025-02-10 03:16:47
323,211,389,Please add reaction zoom effects.,2024-09-16 21:46:15
324,144,937,I want a vintage film look for this video.,2023-05-03 20:20:01
325,223,707,I want a dreamy aesthetic for this vlog.,2025-03-03 01:23:24
326,738,614,I need vertical and horizontal versions.,2025-06-02 05:37:17
327,252,215,I want a dreamy aesthetic for this vlog.,2024-01-12 06:12:30
328,818,634,Can you color grade this footage?,2025-12-30 10:44:53
329,8,642,Please use jump cuts for more energy.,2025-04-26 06:23:42
330,330,999,Please add reaction zoom effects.,2024-10-30 15:05:09
331,93,376,I want the gaming footage to look more cinematic.,2024-03-29 18:46:30
332,462,682,Please add a smooth color grade.,2023-05-14 20:22:54
333,667,343,Please export in 4K resolution.,2024-08-06 18:23:51
334,246,599,I need this for a pitch to investors.,2025-06-01 20:17:47
335,191,366,I want a dreamy aesthetic for this vlog.,2023-06-30 01:14:31
336,104,389,Please remove the background noise.,2024-01-18 15:14:53
337,403,980,I need a short teaser version as well.,2025-08-11 06:51:43
338,44,676,Please brighten the footage a bit more.,2025-02-28 13:46:43
339,933,246,Please include a highlight reel at the start.,2025-01-25 13:19:23
340,187,468,Please make the reels more dynamic.,2023-09-04 09:52:35
341,558,609,Can you add particle effects?,2026-04-04 19:42:45
342,666,388,Can you add particle effects?,2023-01-08 14:42:22
343,352,937,Please add a smooth color grade.,2024-04-03 13:50:52
344,182,534,How long will the delivery take?,2024-08-10 02:05:10
345,827,262,I want the video to be under 60 seconds.,2023-04-18 00:52:27
346,837,722,I need a short teaser version as well.,2024-10-02 16:15:10
347,79,36,Can you add background music to the edit?,2025-08-26 19:58:09
348,714,473,Can you add my logo watermark?,2025-09-13 03:49:34
349,914,210,Please use jump cuts for more energy.,2025-04-12 01:39:04
350,894,838,I want the gaming footage to look more cinematic.,2024-04-10 18:23:08
351,420,849,I want the video to be under 60 seconds.,2023-03-08 21:42:05
352,999,383,I need the video by Friday please.,2023-02-28 13:06:36
353,194,686,Can you add a progress bar animation?,2025-04-29 20:31:41
354,2,139,I need this for a pitch to investors.,2023-11-29 18:14:43
355,9,271,Can you add motion blur effects?,2025-01-26 06:00:05
356,430,214,Please use the song I sent you.,2023-07-28 23:50:46
357,957,878,Can you add animated charts and graphs?,2023-06-09 11:33:37
358,270,649,I want the video to be under 60 seconds.,2025-11-17 03:13:14
359,278,465,I need the video by Friday please.,2025-04-01 21:38:54
360,774,593,Can you speed ramp the action scenes?,2025-07-08 22:31:38
361,325,814,I need captions in English and Spanish.,2023-02-03 21:35:41
362,590,422,Please sync everything to the drum hits.,2023-03-12 02:07:39
363,429,508,I need vertical and horizontal versions.,2024-02-09 10:15:52
364,712,775,Please add a smooth zoom effect on key moments.,2025-07-31 23:35:50
365,642,989,Can you color match all the clips?,2023-01-06 21:59:09
366,584,178,Can you sync the cuts to the beat?,2025-02-24 20:14:01
367,550,782,Can you add a call-to-action at the end?,2025-08-11 15:07:48
368,522,466,Please add reaction zoom effects.,2024-02-24 04:15:08
369,893,328,Please add reaction zoom effects.,2024-06-28 23:30:06
370,115,877,Please add a smooth slow-mo at the climax.,2024-01-04 16:49:40
371,852,852,I need the audio levels balanced out.,2024-05-25 21:00:27
372,551,767,Can you add lower thirds with my name?,2023-07-31 06:25:24
373,867,503,I need the video by Friday please.,2024-12-05 20:10:51
374,273,910,Please add text overlays with key points.,2023-02-03 09:06:51
375,658,992,Please use the song I sent you.,2025-05-09 01:43:15
376,983,574,I need the video by Friday please.,2023-06-14 11:13:41
377,776,393,Can you add a call-to-action at the end?,2026-04-20 06:41:17
378,739,785,I want more slow motion effects.,2023-11-12 19:55:59
379,313,970,I need captions in English and Spanish.,2025-07-06 20:56:21
380,516,779,Please make the intro more impactful.,2023-04-12 07:35:26
381,520,506,I need captions in English and Spanish.,2025-05-02 04:57:56
382,482,454,Can you add a split screen effect?,2026-03-07 09:34:20
383,368,985,Can you add animated charts and graphs?,2023-12-12 21:20:21
384,750,240,I need captions in English and Spanish.,2024-09-21 00:25:14
385,291,780,Please include a highlight reel at the start.,2024-11-29 14:50:25
386,15,850,I want the video to be under 60 seconds.,2023-05-27 19:30:04
387,239,735,Can you add subtitles to my video?,2025-07-29 05:37:57
388,13,638,I need the video by Friday please.,2024-06-26 15:38:17
389,198,525,I want the gaming footage to look more cinematic.,2024-10-13 10:20:29
390,993,24,Can you sync the cuts to the beat?,2025-04-26 21:14:59
391,131,406,Please brighten the footage a bit more.,2024-06-25 23:45:47
392,271,807,I want a cinematic black bar effect.,2023-03-03 17:23:00
393,947,269,Please add a custom intro animation.,2025-10-15 03:57:13
394,868,175,Can you speed ramp the action scenes?,2023-05-13 08:45:02
395,626,36,I want neon glow effects for the gaming edit.,2025-10-10 18:13:23
396,365,462,Can you add lower thirds with my name?,2023-07-28 10:02:13
397,8,275,Please add reaction zoom effects.,2024-03-10 12:27:30
398,68,21,Can you color grade this footage?,2026-01-04 01:09:50
399,707,507,Can you color match all the clips?,2025-07-08 07:08:48
400,859,722,Can you add a call-to-action at the end?,2023-06-05 05:15:49
401,579,221,I want a cinematic black bar effect.,2024-02-25 21:16:11
402,381,800,Please add a smooth color grade.,2025-05-06 00:44:25
403,659,78,Can you color grade this footage?,2025-08-23 14:52:49
404,495,732,Please export with captions burned in.,2024-04-26 05:28:16
405,102,978,I want the gaming footage to look more cinematic.,2023-08-13 17:13:12
406,148,769,Can you add a call-to-action at the end?,2025-04-25 09:16:23
407,975,477,Please make the reels more dynamic.,2025-07-01 19:10:38
408,748,754,Can you add a progress bar animation?,2025-01-07 16:57:34
409,155,763,Please export in 4K resolution.,2024-02-02 15:23:54
410,887,956,Please sync everything to the drum hits.,2024-09-24 09:21:22
411,210,188,Can you sync the cuts to the beat?,2024-08-03 01:41:32
412,81,508,I need a square format version too.,2023-08-13 06:24:58
413,190,297,Can you add subtitles to my video?,2024-02-17 00:27:54
414,853,912,Can you color match all the clips?,2025-09-30 08:55:31
415,690,220,Can you sync the cuts to the beat?,2024-10-13 13:30:21
416,103,111,I want upbeat music for the montage.,2025-08-24 08:30:29
417,53,37,Please add text overlays with key points.,2024-04-19 21:04:25
418,392,539,Please use the song I sent you.,2023-06-04 11:04:08
419,705,391,I need captions in English and Spanish.,2023-03-20 09:50:52
420,487,13,Can you add motion blur effects?,2025-04-28 18:08:49
421,409,460,Can you color match all the clips?,2025-10-11 10:03:46
422,174,58,Can you add motion blur effects?,2026-04-25 12:34:06
423,36,33,Can you add a blurred background to interviews?,2024-06-05 01:57:03
424,799,812,Please add a smooth color grade.,2024-08-30 14:41:34
425,915,822,Can you add particle effects?,2026-01-26 01:17:46
426,139,72,Please sync everything to the drum hits.,2024-07-14 04:20:57
427,202,420,I want upbeat music for the montage.,2025-06-25 14:26:41
428,32,11,Please use jump cuts for more energy.,2024-12-23 10:43:39
429,488,620,Can you add my logo watermark?,2023-02-16 23:24:56
430,62,99,I need this for a pitch to investors.,2024-01-14 10:25:25
431,140,342,Please sync everything to the drum hits.,2023-01-20 11:28:54
432,27,818,Can you add lower thirds with my name?,2023-12-03 04:04:06
433,631,473,How long will the delivery take?,2023-10-22 17:18:59
434,771,798,I want more slow motion effects.,2025-10-13 19:52:48
