service_id,freelancer_id,title,description
219,712,Event Recap Video,Engaging event recap with highlights and graphics
220,536,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
221,621,Fitness Transformation Video,Before and after fitness video with energetic music
222,523,Corporate Promo Video,Polished corporate promo with branding and animations
223,705,Gaming Montage Editing,High energy gaming edits with effects and music sync
224,679,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
225,243,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
226,193,Wedding Highlight Reel,Emotional highlight reel with music and color grade
227,307,Corporate Promo Video,Polished corporate promo with branding and animations
228,981,Wedding Highlight Reel,Emotional highlight reel with music and color grade
229,617,Fitness Transformation Video,Before and after fitness video with energetic music
230,222,Product Review Edit,Clean product review with graphics and call-to-action
231,368,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
232,132,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
233,433,Podcast Video Editing,Clean podcast editing with audio sync and visuals
234,564,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
235,267,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
236,666,Music Video Editing,Dynamic music video with beat-synced cuts and effects
237,410,Animation & Motion Graphics,Custom animations and motion graphics for any video
238,86,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
239,693,Interview Editing,Professional interview edit with lower thirds and cutaways
240,963,Wedding Highlight Reel,Emotional highlight reel with music and color grade
241,549,Corporate Promo Video,Polished corporate promo with branding and animations
242,73,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
243,649,Corporate Promo Video,Polished corporate promo with branding and animations
244,732,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
245,578,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
246,620,Music Video Editing,Dynamic music video with beat-synced cuts and effects
247,430,Wedding Highlight Reel,Emotional highlight reel with music and color grade
248,324,Interview Editing,Professional interview edit with lower thirds and cutaways
249,389,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
250,988,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
251,254,Podcast Video Editing,Clean podcast editing with audio sync and visuals
252,277,Gaming Montage Editing,High energy gaming edits with effects and music sync
253,545,Gaming Montage Editing,High energy gaming edits with effects and music sync
254,701,Fitness Transformation Video,Before and after fitness video with energetic music
255,417,Podcast Video Editing,Clean podcast editing with audio sync and visuals
256,338,Podcast Video Editing,Clean podcast editing with audio sync and visuals
257,372,Event Recap Video,Engaging event recap with highlights and graphics
258,797,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
259,150,Documentary Editing,Story-driven documentary with interviews and B-roll
260,281,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
261,101,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
262,993,Documentary Editing,Story-driven documentary with interviews and B-roll
263,388,Gaming Montage Editing,High energy gaming edits with effects and music sync
264,802,Gaming Montage Editing,High energy gaming edits with effects and music sync
265,180,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
266,746,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
267,603,Cinematic Color Grade,Film-grade color correction and grading for any footage
268,98,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
269,358,Product Review Edit,Clean product review with graphics and call-to-action
270,887,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
271,565,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
272,623,Gaming Montage Editing,High energy gaming edits with effects and music sync
273,919,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
274,175,Event Recap Video,Engaging event recap with highlights and graphics
275,970,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
276,186,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
277,826,Fitness Transformation Video,Before and after fitness video with energetic music
278,565,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
279,904,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
280,489,Product Review Edit,Clean product review with graphics and call-to-action
281,131,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
282,10,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
283,731,Wedding Highlight Reel,Emotional highlight reel with music and color grade
284,674,Wedding Highlight Reel,Emotional highlight reel with music and color grade
285,147,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
286,582,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
287,55,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
288,725,Documentary Editing,Story-driven documentary with interviews and B-roll
289,695,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
290,429,Animation & Motion Graphics,Custom animations and motion graphics for any video
291,188,Animation & Motion Graphics,Custom animations and motion graphics for any video
292,363,Animation & Motion Graphics,Custom animations and motion graphics for any video
293,515,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
294,283,Interview Editing,Professional interview edit with lower thirds and cutaways
295,534,Documentary Editing,Story-driven documentary with interviews and B-roll
296,313,Podcast Video Editing,Clean podcast editing with audio sync and visuals
297,971,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
298,417,Event Recap Video,Engaging event recap with highlights and graphics
299,866,Podcast Video Editing,Clean podcast editing with audio sync and visuals
300,650,Podcast Video Editing,Clean podcast editing with audio sync and visuals
301,79,Documentary Editing,Story-driven documentary with interviews and B-roll
302,968,Podcast Video Editing,Clean podcast editing with audio sync and visuals
303,170,Product Review Edit,Clean product review with graphics and call-to-action
304,59,Podcast Video Editing,Clean podcast editing with audio sync and visuals
305,762,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
306,568,Cinematic Color Grade,Film-grade color correction and grading for any footage
307,828,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
308,986,Interview Editing,Professional interview edit with lower thirds and cutaways
309,694,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
310,955,Wedding Highlight Reel,Emotional highlight reel with music and color grade
311,492,Cinematic Color Grade,Film-grade color correction and grading for any footage
312,528,Fitness Transformation Video,Before and after fitness video with energetic music
313,715,Gaming Montage Editing,High energy gaming edits with effects and music sync
314,416,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
315,632,Corporate Promo Video,Polished corporate promo with branding and animations
316,933,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
317,732,Interview Editing,Professional interview edit with lower thirds and cutaways
318,720,Fitness Transformation Video,Before and after fitness video with energetic music
319,768,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
320,251,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
321,701,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
322,44,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
323,460,Music Video Editing,Dynamic music video with beat-synced cuts and effects
324,691,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
325,926,Documentary Editing,Story-driven documentary with interviews and B-roll
326,180,Podcast Video Editing,Clean podcast editing with audio sync and visuals
327,376,Wedding Highlight Reel,Emotional highlight reel with music and color grade
328,527,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
329,976,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
330,433,Cinematic Color Grade,Film-grade color correction and grading for any footage
331,389,Music Video Editing,Dynamic music video with beat-synced cuts and effects
332,383,Gaming Montage Editing,High energy gaming edits with effects and music sync
333,347,Documentary Editing,Story-driven documentary with interviews and B-roll
334,852,Fitness Transformation Video,Before and after fitness video with energetic music
335,872,Gaming Montage Editing,High energy gaming edits with effects and music sync
336,298,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
337,495,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
338,272,Corporate Promo Video,Polished corporate promo with branding and animations
339,3,Product Review Edit,Clean product review with graphics and call-to-action
340,404,Corporate Promo Video,Polished corporate promo with branding and animations
341,946,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
342,952,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
343,846,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
344,958,Animation & Motion Graphics,Custom animations and motion graphics for any video
345,914,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
346,869,Cinematic Color Grade,Film-grade color correction and grading for any footage
347,59,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
348,7,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
349,472,Event Recap Video,Engaging event recap with highlights and graphics
350,306,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
351,110,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
352,359,Music Video Editing,Dynamic music video with beat-synced cuts and effects
353,412,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
354,10,Gaming Montage Editing,High energy gaming edits with effects and music sync
355,442,Cinematic Color Grade,Film-grade color correction and grading for any footage
356,203,Podcast Video Editing,Clean podcast editing with audio sync and visuals
357,542,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
358,921,Wedding Highlight Reel,Emotional highlight reel with music and color grade
359,421,Gaming Montage Editing,High energy gaming edits with effects and music sync
360,936,Cinematic Color Grade,Film-grade color correction and grading for any footage
361,8,Wedding Highlight Reel,Emotional highlight reel with music and color grade
362,788,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
363,232,Cinematic Color Grade,Film-grade color correction and grading for any footage
364,405,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
365,307,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
366,439,Music Video Editing,Dynamic music video with beat-synced cuts and effects
367,550,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
368,112,Animation & Motion Graphics,Custom animations and motion graphics for any video
369,673,Animation & Motion Graphics,Custom animations and motion graphics for any video
370,166,Wedding Highlight Reel,Emotional highlight reel with music and color grade
371,363,Interview Editing,Professional interview edit with lower thirds and cutaways
372,6,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
373,905,Corporate Promo Video,Polished corporate promo with branding and animations
374,114,Corporate Promo Video,Polished corporate promo with branding and animations
375,292,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
376,137,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
377,432,Event Recap Video,Engaging event recap with highlights and graphics
378,923,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
379,165,Corporate Promo Video,Polished corporate promo with branding and animations
380,972,Cinematic Color Grade,Film-grade color correction and grading for any footage
381,983,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
382,122,Interview Editing,Professional interview edit with lower thirds and cutaways
383,501,Fitness Transformation Video,Before and after fitness video with energetic music
384,508,Wedding Highlight Reel,Emotional highlight reel with music and color grade
385,333,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
386,514,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
387,135,Gaming Montage Editing,High energy gaming edits with effects and music sync
388,981,Gaming Montage Editing,High energy gaming edits with effects and music sync
389,812,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
390,130,Wedding Highlight Reel,Emotional highlight reel with music and color grade
391,353,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
392,14,Documentary Editing,Story-driven documentary with interviews and B-roll
393,54,Event Recap Video,Engaging event recap with highlights and graphics
394,440,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
395,756,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
396,445,Cinematic Color Grade,Film-grade color correction and grading for any footage
397,297,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
398,498,Podcast Video Editing,Clean podcast editing with audio sync and visuals
399,780,Interview Editing,Professional interview edit with lower thirds and cutaways
400,254,Testimonial Video Edit,Authentic testimonial video with branding and subtitles
401,157,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
402,192,Documentary Editing,Story-driven documentary with interviews and B-roll
403,288,Gaming Montage Editing,High energy gaming edits with effects and music sync
404,885,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
405,718,Documentary Editing,Story-driven documentary with interviews and B-roll
406,683,Interview Editing,Professional interview edit with lower thirds and cutaways
407,204,Cinematic Color Grade,Film-grade color correction and grading for any footage
408,724,Gaming Montage Editing,High energy gaming edits with effects and music sync
409,718,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
410,626,Music Video Editing,Dynamic music video with beat-synced cuts and effects
411,194,Product Review Edit,Clean product review with graphics and call-to-action
412,645,Wedding Highlight Reel,Emotional highlight reel with music and color grade
413,235,Gaming Montage Editing,High energy gaming edits with effects and music sync
414,136,Sports Highlight Reel,Fast-paced sports montage with slow-mo and effects
415,40,Travel Vlog Editing,Vibrant travel vlog with cinematic color and transitions
416,197,Wedding Highlight Reel,Emotional highlight reel with music and color grade
417,437,YouTube Video Editing,"Professional YouTube editing with cuts, transitions, color correction"
418,632,Corporate Promo Video,Polished corporate promo with branding and animations
419,94,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
420,390,Interview Editing,Professional interview edit with lower thirds and cutaways
421,538,Real Estate Walkthrough Edit,Smooth walkthrough edit with text overlays and music
422,717,Documentary Editing,Story-driven documentary with interviews and B-roll
423,228,Event Recap Video,Engaging event recap with highlights and graphics
424,437,Cinematic Color Grade,Film-grade color correction and grading for any footage
425,63,Social Media Ad Edit,Scroll-stopping social media ad with captions and CTA
426,438,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
427,312,Gaming Montage Editing,High energy gaming edits with effects and music sync
428,276,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
429,288,Tutorial/Educational Edit,Clear tutorial edit with screen recordings and annotations
430,729,Interview Editing,Professional interview edit with lower thirds and cutaways
431,253,Event Recap Video,Engaging event recap with highlights and graphics
432,917,Short Form Reels Editing,TikTok and Instagram reels with captions and effects
